incident_source_id,source_record_id,date,registration,fatalities,source_url,year
58489,19921027049379I,1992-10-27,153439,0,,1992
141675,20150321004289I,2015-03-21,211732,0,,2015
23864,19870416037309I,1987-04-16,060948,1,,1987
44252,19900621021529A,1990-06-21,110335,0,,1990
36087,19890320024969I,1989-03-20,078329,0,,1989
50845,19910805041179I,1991-08-05,117153,0,,1991
57404,19920906040959I,1992-09-06,108092,0,,1992
161489,20200724009999A,2020-07-24,224701,0,,2020
78019,19971023030879I,1997-10-23,160622,0,,1997
89098,19970629019959A,1997-06-29,110884,0,,1997
46781,19901114060439I,1990-11-14,119639,0,,1990
143234,20150922019189I,2015-09-22,213234,0,,2015
116622,20060624016809I,2006-06-24,179268,0,,2006
132186,20110813027219I,2011-08-13,202890,0,,2011
146247,20170118000429I,2017-01-18,215782,0,,2017
55379,19920504032799A,1992-05-04,085220,0,,1992
58611,19921124047759A,1992-11-24,143867,0,,1992
23612,19870423022319I,1987-04-23,154105,0,,1987
147486,20170804012779A,2017-08-04,217430,0,,2017
75544,19970120004459I,1997-01-20,070459,0,,1997
31182,19880621060429A,1988-06-21,171118,0,,1988
141039,20141125022069I,2014-11-25,211075,0,,2014
84179,19980427018169I,1998-04-27,115357,0,,1998
103573,20021001029379I,2002-10-01,022545,0,,2002
75605,19960301003369A,1996-03-01,087025,2,,1996
12418,19850527026299A,1985-05-27,100392,0,,1985
53650,19920114000559A,1992-01-14,115443,0,,1992
19280,19860719073559I,1986-07-19,071402,0,,1986
132782,20111204029129I,2011-12-04,203101,0,,2011
44078,19900630023029A,1990-06-30,077352,0,,1990
160996,20251106018649A,2025-11-06,238183,0,,2025
80898,19980926026739I,1998-09-26,173398,0,,1998
141408,20150119000349A,2015-01-19,211260,0,,2015
111464,20050120010809A,2005-01-20,031146,3,,2005
74691,19961202043539I,1996-12-02,104852,0,,1996
164630,20230917016452A,2023-09-17,233419,1,,2023
130923,20110406006699I,2011-04-06,200792,0,,2011
161094,20200501001059I,2020-05-01,223448,0,,2020
114672,20051010027109I,2005-10-10,066237,0,,2005
88962,19970521023149A,1997-05-21,070332,0,,1997
114537,20051208033389I,2005-12-08,177577,0,,2005
66944,19940618047909A,1994-06-18,080442,0,,1994
21325,19861002077349I,1986-10-02,168430,0,,1986
49760,19910614035439I,1991-06-14,068389,0,,1991
44208,19900622023559A,1990-06-22,120142,0,,1990
127677,20100309029669I,2010-03-09,196370,0,,2010
20783,19860824056979I,1986-08-24,140715,0,,1986
123974,20081127853559I,2008-11-27,189908,0,,2008
107079,20031005024489I,2003-10-05,024379,0,,2003
59729,19930206001759A,1993-02-06,158946,0,,1993
43468,19900527045249I,1990-05-27,076734,0,,1990
113880,20050911023049I,2005-09-11,065987,0,,2005
138144,20130904016709A,2013-09-04,207927,0,,2013
119752,20070808019609A,2007-08-08,185580,0,,2007
111873,20050309009259I,2005-03-09,027865,0,,2005
139290,20140320007149I,2014-03-20,209572,0,,2014
27675,19871023082239A,1987-10-23,109465,1,,1987
104989,20030329008459I,2003-03-29,023296,0,,2003
153560,20191204021109I,2019-12-04,223581,0,,2019
141705,20150415004449I,2015-04-15,211748,0,,2015
120755,20071115829719I,2007-11-15,186730,0,,2007
92033,20000114000149I,2000-01-14,021238,0,,2000
110787,20041108031409A,2004-11-08,027159,0,,2004
65102,19940323008979I,1994-03-23,154491,0,,1994
14739,19850916051699I,1985-09-16,071432,0,,1985
99173,20010822024469A,2001-08-22,178852,0,,2001
57437,19920828038619A,1992-08-28,144936,0,,1992
59335,19930105002509A,1993-01-05,163441,0,,1993
122023,20080327837069A,2008-03-27,187947,0,,2008
117925,20061126028249I,2006-11-26,181796,0,,2006
18419,19860507038749I,1986-05-07,016205,0,,1986
32332,19880805037531I,1988-08-05,045719,0,,1988
147251,20170514021039I,2017-05-14,218347,0,,2017
38348,19890714047609I,1989-07-14,170117,0,,1989
86804,19990811011759A,1999-08-11,115997,0,,1999
147037,20170414005589I,2017-04-14,216596,0,,2017
58475,19921029044469I,1992-10-29,173840,0,,1992
122452,20080522836069A,2008-05-22,187846,0,,2008
23159,19870224007119I,1987-02-24,131697,0,,1987
132740,20111201029349A,2011-12-01,203126,0,,2011
56091,19920526021399I,1992-05-26,166849,0,,1992
147189,20170603013159I,2017-06-03,217469,0,,2017
122445,20080604838349A,2008-06-04,188078,0,,2008
27252,19871004065509I,1987-10-04,124767,0,,1987
132301,20110916021719A,2011-09-16,202310,0,,2011
43932,19900702034719I,1990-07-02,109988,0,,1990
80518,19970315003111A,1997-03-15,101550,2,,1997
14588,19850911047229A,1985-09-11,104341,0,,1985
45505,19900827047889I,1990-08-27,159540,0,,1990
109277,20040630020769I,2004-06-30,032293,0,,2004
82609,19950112000609A,1995-01-12,147636,1,,1995
